#q_sq i k_sq Re(w) Im(w)
1e-06 0 1e-06 1.54826 0
1e-06 0 1.41873e-06 1.54826 0
1e-06 0 2.01279e-06 1.54826 0
1e-06 0 2.85559e-06 1.54826 0
1e-06 0 4.0513e-06 1.54826 0
1e-06 0 5.74769e-06 1.54826 0
1e-06 0 8.15441e-06 1.54826 0
1e-06 0 1.15689e-05 1.54826 0
1e-06 0 1.64131e-05 1.54826 0
1e-06 0 2.32857e-05 1.54826 0
1e-06 0 3.3036e-05 1.54827 0
1e-06 0 4.6869e-05 1.54827 0
1e-06 0 6.64944e-05 1.54827 0
1e-06 0 9.43373e-05 1.54827 0
1e-06 0 0.000133839 1.54828 0
1e-06 0 0.000189881 1.54829 0
1e-06 0 0.000269389 1.5483 0
1e-06 0 0.000382189 1.54831 0
1e-06 0 0.000542222 1.54833 0
1e-06 0 0.000769265 1.54836 0
1e-06 0 0.00109138 1.54841 0
1e-06 0 0.00154837 1.54847 0
1e-06 0 0.00219671 1.54855 0
1e-06 0 0.00311653 1.54867 0
1e-06 0 0.0044215 1.54884 0
1e-06 0 0.0062729 1.54907 0
1e-06 0 0.00889953 1.54939 0
1e-06 0 0.012626 1.54984 0
1e-06 0 0.0179128 1.55044 0
1e-06 0 0.0254134 1.55124 0
1e-06 0 0.0360547 1.55226 0
1e-06 0 0.0511518 1.55349 0
1e-06 0 0.0725704 1.55482 0
1e-06 0 0.102958 1.55591 0
1e-06 0 0.146069 1.55604 0
1e-06 0 0.207231 1.55376 0
1e-06 0 0.294005 1.54659 0
1e-06 0 0.417112 1.53087 0
1e-06 0 0.591769 1.50233 0
1e-06 0 0.839558 1.45804 0
1e-06 0 1.1911 1.39924 0
1e-06 0 1.68985 1.33268 0
1e-06 0 2.39743 1.26753 0
1e-06 0 3.4013 1.21018 0
1e-06 0 4.82552 1.16264 0
1e-06 0 6.8461 1.12446 0
1e-06 0 9.71274 1.09442 0
1e-06 0 13.7797 1.07115 0
1e-06 0 19.5497 1.05329 0
1e-06 0 27.7356 1.03966 0
1e-06 0 39.3493 1.02927 0
1e-06 0 55.8259 1.02131 0
1e-06 0 79.2016 1.01519 0
1e-06 0 112.365 1.01038 0
1e-06 0 159.416 1.00645 0
1e-06 0 226.168 1.00318 0
1e-06 0 320.87 1.00059 0
1e-06 0 455.227 0.998652 0
1e-06 0 645.842 0.997179 0
1e-06 0 916.274 0.995941 0
1e-06 0 1299.94 0.994826 0
1e-06 0 1844.26 0.993803 0
1e-06 0 2616.5 0.992862 0
1e-06 0 3712.11 0.991993 0
1e-06 0 5266.46 0.99119 0
1e-06 0 7471.67 0.990445 0
1e-06 0 10600.3 0.989752 0
1e-06 0 15038.9 0.989105 0
1e-06 0 21336 0.9885 0
1e-06 0 30270 0.987933 0
1e-06 0 42944.9 0.9874 0
1e-06 0 60927 0.986899 0
1e-06 0 86438.8 0.986426 0
1e-06 0 122633 0.985978 0
1e-06 0 173983 0.985555 0
1e-06 0 246834 0.985153 0
1e-06 0 350190 0.984771 0
1e-06 0 496824 0.98441 0
1e-06 0 704857 0.984062 0
1e-06 0 1e+06 0.983729 0

2.43835e-06 0 1e-06 1.54826 0
2.43835e-06 0 1.41873e-06 1.54826 0
2.43835e-06 0 2.01279e-06 1.54826 0
2.43835e-06 0 2.85559e-06 1.54826 0
2.43835e-06 0 4.0513e-06 1.54826 0
2.43835e-06 0 5.74769e-06 1.54826 0
2.43835e-06 0 8.15441e-06 1.54826 0
2.43835e-06 0 1.15689e-05 1.54826 0
2.43835e-06 0 1.64131e-05 1.54826 0
2.43835e-06 0 2.32857e-05 1.54826 0
2.43835e-06 0 3.3036e-05 1.54827 0
2.43835e-06 0 4.6869e-05 1.54827 0
2.43835e-06 0 6.64944e-05 1.54827 0
2.43835e-06 0 9.43373e-05 1.54827 0
2.43835e-06 0 0.000133839 1.54828 0
2.43835e-06 0 0.000189881 1.54829 0
2.43835e-06 0 0.000269389 1.5483 0
2.43835e-06 0 0.000382189 1.54831 0
2.43835e-06 0 0.000542222 1.54833 0
2.43835e-06 0 0.000769265 1.54836 0
2.43835e-06 0 0.00109138 1.54841 0
2.43835e-06 0 0.00154837 1.54847 0
2.43835e-06 0 0.00219671 1.54855 0
2.43835e-06 0 0.00311653 1.54867 0
2.43835e-06 0 0.0044215 1.54884 0
2.43835e-06 0 0.0062729 1.54907 0
2.43835e-06 0 0.00889953 1.54939 0
2.43835e-06 0 0.012626 1.54984 0
2.43835e-06 0 0.0179128 1.55044 0
2.43835e-06 0 0.0254134 1.55124 0
2.43835e-06 0 0.0360547 1.55226 0
2.43835e-06 0 0.0511518 1.55349 0
2.43835e-06 0 0.0725704 1.55482 0
2.43835e-06 0 0.102958 1.55591 0
2.43835e-06 0 0.146069 1.55604 0
2.43835e-06 0 0.207231 1.55376 0
2.43835e-06 0 0.294005 1.54659 0
2.43835e-06 0 0.417112 1.53087 0
2.43835e-06 0 0.591769 1.50233 0
2.43835e-06 0 0.839558 1.45804 0
2.43835e-06 0 1.1911 1.39924 0
2.43835e-06 0 1.68985 1.33268 0
2.43835e-06 0 2.39743 1.26753 0
2.43835e-06 0 3.4013 1.21018 0
2.43835e-06 0 4.82552 1.16264 0
2.43835e-06 0 6.8461 1.12446 0
2.43835e-06 0 9.71274 1.09442 0
2.43835e-06 0 13.7797 1.07115 0
2.43835e-06 0 19.5497 1.05329 0
2.43835e-06 0 27.7356 1.03966 0
2.43835e-06 0 39.3493 1.02927 0
2.43835e-06 0 55.8259 1.02131 0
2.43835e-06 0 79.2016 1.01519 0
2.43835e-06 0 112.365 1.01038 0
2.43835e-06 0 159.416 1.00645 0
2.43835e-06 0 226.168 1.00318 0
2.43835e-06 0 320.87 1.00059 0
2.43835e-06 0 455.227 0.998652 0
2.43835e-06 0 645.842 0.997179 0
2.43835e-06 0 916.274 0.995941 0
2.43835e-06 0 1299.94 0.994826 0
2.43835e-06 0 1844.26 0.993803 0
2.43835e-06 0 2616.5 0.992862 0
2.43835e-06 0 3712.11 0.991993 0
2.43835e-06 0 5266.46 0.99119 0
2.43835e-06 0 7471.67 0.990445 0
2.43835e-06 0 10600.3 0.989752 0
2.43835e-06 0 15038.9 0.989105 0
2.43835e-06 0 21336 0.9885 0
2.43835e-06 0 30270 0.987933 0
2.43835e-06 0 42944.9 0.9874 0
2.43835e-06 0 60927 0.986899 0
2.43835e-06 0 86438.8 0.986426 0
2.43835e-06 0 122633 0.985978 0
2.43835e-06 0 173983 0.985555 0
2.43835e-06 0 246834 0.985153 0
2.43835e-06 0 350190 0.984771 0
2.43835e-06 0 496824 0.98441 0
2.43835e-06 0 704857 0.984062 0
2.43835e-06 0 1e+06 0.983729 0

5.94557e-06 0 1e-06 1.54826 0
5.94557e-06 0 1.41873e-06 1.54826 0
5.94557e-06 0 2.01279e-06 1.54826 0
5.94557e-06 0 2.85559e-06 1.54826 0
5.94557e-06 0 4.0513e-06 1.54826 0
5.94557e-06 0 5.74769e-06 1.54826 0
5.94557e-06 0 8.15441e-06 1.54826 0
5.94557e-06 0 1.15689e-05 1.54826 0
5.94557e-06 0 1.64131e-05 1.54826 0
5.94557e-06 0 2.32857e-05 1.54826 0
5.94557e-06 0 3.3036e-05 1.54827 0
5.94557e-06 0 4.6869e-05 1.54827 0
5.94557e-06 0 6.64944e-05 1.54827 0
5.94557e-06 0 9.43373e-05 1.54827 0
5.94557e-06 0 0.000133839 1.54828 0
5.94557e-06 0 0.000189881 1.54829 0
5.94557e-06 0 0.000269389 1.5483 0
5.94557e-06 0 0.000382189 1.54831 0
5.94557e-06 0 0.000542222 1.54833 0
5.94557e-06 0 0.000769265 1.54836 0
5.94557e-06 0 0.00109138 1.54841 0
5.94557e-06 0 0.00154837 1.54847 0
5.94557e-06 0 0.00219671 1.54855 0
5.94557e-06 0 0.00311653 1.54867 0
5.94557e-06 0 0.0044215 1.54884 0
5.94557e-06 0 0.0062729 1.54907 0
5.94557e-06 0 0.00889953 1.54939 0
5.94557e-06 0 0.012626 1.54984 0
5.94557e-06 0 0.0179128 1.55044 0
5.94557e-06 0 0.0254134 1.55124 0
5.94557e-06 0 0.0360547 1.55226 0
5.94557e-06 0 0.0511518 1.55349 0
5.94557e-06 0 0.0725704 1.55482 0
5.94557e-06 0 0.102958 1.55591 0
5.94557e-06 0 0.146069 1.55604 0
5.94557e-06 0 0.207231 1.55376 0
5.94557e-06 0 0.294005 1.54659 0
5.94557e-06 0 0.417112 1.53087 0
5.94557e-06 0 0.591769 1.50233 0
5.94557e-06 0 0.839558 1.45804 0
5.94557e-06 0 1.1911 1.39924 0
5.94557e-06 0 1.68985 1.33268 0
5.94557e-06 0 2.39743 1.26753 0
5.94557e-06 0 3.4013 1.21018 0
5.94557e-06 0 4.82552 1.16264 0
5.94557e-06 0 6.8461 1.12446 0
5.94557e-06 0 9.71274 1.09442 0
5.94557e-06 0 13.7797 1.07115 0
5.94557e-06 0 19.5497 1.05329 0
5.94557e-06 0 27.7356 1.03966 0
5.94557e-06 0 39.3493 1.02927 0
5.94557e-06 0 55.8259 1.02131 0
5.94557e-06 0 79.2016 1.01519 0
5.94557e-06 0 112.365 1.01038 0
5.94557e-06 0 159.416 1.00645 0
5.94557e-06 0 226.168 1.00318 0
5.94557e-06 0 320.87 1.00059 0
5.94557e-06 0 455.227 0.998652 0
5.94557e-06 0 645.842 0.997179 0
5.94557e-06 0 916.274 0.995941 0
5.94557e-06 0 1299.94 0.994826 0
5.94557e-06 0 1844.26 0.993803 0
5.94557e-06 0 2616.5 0.992862 0
5.94557e-06 0 3712.11 0.991993 0
5.94557e-06 0 5266.46 0.99119 0
5.94557e-06 0 7471.67 0.990445 0
5.94557e-06 0 10600.3 0.989752 0
5.94557e-06 0 15038.9 0.989105 0
5.94557e-06 0 21336 0.9885 0
5.94557e-06 0 30270 0.987933 0
5.94557e-06 0 42944.9 0.9874 0
5.94557e-06 0 60927 0.986899 0
5.94557e-06 0 86438.8 0.986426 0
5.94557e-06 0 122633 0.985978 0
5.94557e-06 0 173983 0.985555 0
5.94557e-06 0 246834 0.985153 0
5.94557e-06 0 350190 0.984771 0
5.94557e-06 0 496824 0.98441 0
5.94557e-06 0 704857 0.984062 0
5.94557e-06 0 1e+06 0.983729 0

1.44974e-05 0 1e-06 1.54826 0
1.44974e-05 0 1.41873e-06 1.54826 0
1.44974e-05 0 2.01279e-06 1.54826 0
1.44974e-05 0 2.85559e-06 1.54826 0
1.44974e-05 0 4.0513e-06 1.54826 0
1.44974e-05 0 5.74769e-06 1.54826 0
1.44974e-05 0 8.15441e-06 1.54826 0
1.44974e-05 0 1.15689e-05 1.54826 0
1.44974e-05 0 1.64131e-05 1.54826 0
1.44974e-05 0 2.32857e-05 1.54826 0
1.44974e-05 0 3.3036e-05 1.54827 0
1.44974e-05 0 4.6869e-05 1.54827 0
1.44974e-05 0 6.64944e-05 1.54827 0
1.44974e-05 0 9.43373e-05 1.54827 0
1.44974e-05 0 0.000133839 1.54828 0
1.44974e-05 0 0.000189881 1.54829 0
1.44974e-05 0 0.000269389 1.5483 0
1.44974e-05 0 0.000382189 1.54831 0
1.44974e-05 0 0.000542222 1.54833 0
1.44974e-05 0 0.000769265 1.54836 0
1.44974e-05 0 0.00109138 1.54841 0
1.44974e-05 0 0.00154837 1.54847 0
1.44974e-05 0 0.00219671 1.54855 0
1.44974e-05 0 0.00311653 1.54867 0
1.44974e-05 0 0.0044215 1.54884 0
1.44974e-05 0 0.0062729 1.54907 0
1.44974e-05 0 0.00889953 1.54939 0
1.44974e-05 0 0.012626 1.54984 0
1.44974e-05 0 0.0179128 1.55044 0
1.44974e-05 0 0.0254134 1.55124 0
1.44974e-05 0 0.0360547 1.55226 0
1.44974e-05 0 0.0511518 1.55349 0
1.44974e-05 0 0.0725704 1.55482 0
1.44974e-05 0 0.102958 1.55591 0
1.44974e-05 0 0.146069 1.55604 0
1.44974e-05 0 0.207231 1.55376 0
1.44974e-05 0 0.294005 1.54659 0
1.44974e-05 0 0.417112 1.53087 0
1.44974e-05 0 0.591769 1.50233 0
1.44974e-05 0 0.839558 1.45804 0
