#q_sq i k_sq Re(w) Im(w)
1e-06 2 1e-06 -1.04812 0
1e-06 2 1.55052e-06 -1.04812 0
1e-06 2 2.4041e-06 -1.04812 0
1e-06 2 3.72759e-06 -1.04812 0
1e-06 2 5.77969e-06 -1.04812 0
1e-06 2 8.96151e-06 -1.04812 0
1e-06 2 1.3895e-05 -1.04812 0
1e-06 2 2.15443e-05 -1.04812 0
1e-06 2 3.34048e-05 -1.04812 0
1e-06 2 5.17947e-05 -1.04812 0
1e-06 2 8.03086e-05 -1.04812 0
1e-06 2 0.00012452 -1.04811 0
1e-06 2 0.00019307 -1.04811 0
1e-06 2 0.000299358 -1.0481 0
1e-06 2 0.000464159 -1.04808 0
1e-06 2 0.000719686 -1.04806 0
1e-06 2 0.00111588 -1.04802 0
1e-06 2 0.0017302 -1.04795 0
1e-06 2 0.0026827 -1.04784 0
1e-06 2 0.00415956 -1.04765 0
1e-06 2 0.00644947 -1.0473 0
1e-06 2 0.01 -1.04663 0
1e-06 2 0.0155052 -1.04534 0
1e-06 2 0.024041 -1.04269 0
1e-06 2 0.0372759 -1.03719 0
1e-06 2 0.0577969 -1.02566 0
1e-06 2 0.0896151 -1.00192 0
1e-06 2 0.13895 -0.955156 0
1e-06 2 0.215443 -0.870202 0
1e-06 2 0.334048 -0.734227 0
1e-06 2 0.517947 -0.551599 0
1e-06 2 0.803086 -0.353526 0
1e-06 2 1.2452 -0.183216 0
1e-06 2 1.9307 -0.0704012 0
1e-06 2 2.99358 -0.0180245 0
1e-06 2 4.64159 -0.00336416 0
1e-06 2 7.19686 -0.000910475 0
1e-06 2 11.1588 -0.000369564 0
1e-06 2 17.302 -0.000154173 0
1e-06 2 26.827 -6.6235e-05 0
1e-06 2 41.5956 -3.01924e-05 0
1e-06 2 64.4947 -1.43543e-05 0
1e-06 2 100 -7.02575e-06 0
1e-06 2 155.052 -3.53928e-06 0
1e-06 2 240.41 -1.83503e-06 0
1e-06 2 372.759 -9.77739e-07 0
1e-06 2 577.969 -5.33956e-07 0
1e-06 2 896.151 -2.97905e-07 0
1e-06 2 1389.5 -1.69226e-07 0
1e-06 2 2154.43 -9.75619e-08 0
1e-06 2 3340.48 -5.69254e-08 0
1e-06 2 5179.47 -3.35376e-08 0
1e-06 2 8030.86 -1.99133e-08 0
1e-06 2 12452 -1.18988e-08 0
1e-06 2 19307 -7.14685e-09 0
1e-06 2 29935.8 -4.31121e-09 0
1e-06 2 46415.9 -2.61015e-09 0
1e-06 2 71968.6 -1.58521e-09 0
1e-06 2 111588 -9.65354e-10 0
1e-06 2 173020 -5.89293e-10 0
1e-06 2 268270 -3.60503e-10 0
1e-06 2 415956 -2.20968e-10 0
1e-06 2 644947 -1.35682e-10 0
1e-06 2 1e+06 -8.34498e-11 0

2.43835e-06 2 1e-06 -1.04812 0
2.43835e-06 2 1.55052e-06 -1.04812 0
2.43835e-06 2 2.4041e-06 -1.04812 0
2.43835e-06 2 3.72759e-06 -1.04812 0
2.43835e-06 2 5.77969e-06 -1.04812 0
2.43835e-06 2 8.96151e-06 -1.04812 0
2.43835e-06 2 1.3895e-05 -1.04812 0
2.43835e-06 2 2.15443e-05 -1.04812 0
2.43835e-06 2 3.34048e-05 -1.04812 0
2.43835e-06 2 5.17947e-05 -1.04812 0
